year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,1372910,710040,662870,570280,295280,275000
2006,1399790,720280,679510,564830,291270,273560
2007,1444920,766860,678060,559650,289550,270100
2008,1437180,745180,692000,565650,294120,271530
2009,1479350,766130,713220,562340,292540,269800
2010,1529560,789620,739940,569490,299200,270290
2011,1596670,822300,774370,571950,300430,271520
2012,1638910,848170,790740,577190,301820,275370
2013,1660290,854790,805500,580350,306920,273430
2014,1665540,855220,810320,585720,310010,275710
2015,1658370,848200,810170,589430,312150,277280
2016,1685210,841390,843820,595690,314290,281400
2017,1688780,836150,852630,600920,318420,282500
2018,1735350,856370,878980,609640,323630,286010
2019,1762450,870970,891480,606880,321670,285210
2020,1806590,893660,912930,606520,321160,285360
2021,1898160,970250,927910,608570,319420,289150
2022,1918030,983160,934870,609360,322090,287270
2023,1958310,1010310,948000,609820,322080,287740
2024,2001140,1029080,972060,611720,322800,288920
