year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,18500,10620,7880,12760,7280,5480
2006,18820,10730,8090,12820,7260,5560
2007,20500,11170,9330,12740,7150,5590
2008,21810,11780,10030,13070,7420,5650
2009,22070,12010,10060,12920,7330,5590
2010,22020,11980,10040,13140,7420,5720
2011,22340,12260,10080,13110,7440,5670
2012,22910,12630,10280,13700,7720,5980
2013,23130,12770,10360,14080,7930,6150
2014,23380,12820,10560,14320,8090,6230
2015,22850,12900,9950,15320,8940,6380
2016,23770,13350,10420,16050,9440,6610
2017,23800,13450,10350,16700,9620,7080
2018,23880,13720,10160,16830,9490,7340
2019,23820,13410,10410,17760,9910,7850
2020,23890,13590,10300,18020,10190,7830
2021,24530,13840,10690,18600,10500,8100
2022,25050,14170,10880,18280,10710,7570
2023,24810,14280,10530,18990,11020,7970
2024,25400,14420,10980,18760,10690,8070
