year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,321050,241570,79480,59920,31010,28910
2006,321490,244240,77250,56060,28000,28060
2007,306380,228090,78290,55740,27720,28020
2008,274150,195660,78490,57820,29330,28490
2009,282690,201970,80720,56160,28040,28120
2010,311210,227460,83750,60420,32710,27710
2011,338620,250540,88080,63980,34390,29590
2012,340650,251900,88750,58360,28840,29520
2013,339810,248080,91730,58480,30400,28080
2014,338450,243460,94990,58970,30180,28790
2015,329330,231050,98280,58670,28230,30440
2016,297530,191640,105890,57730,26840,30890
2017,279800,172330,107470,59100,27500,31600
2018,286390,176320,110070,62330,30210,32120
2019,295290,186290,109000,65540,32440,33100
2020,317260,203740,113520,67830,34210,33620
2021,376970,260210,116760,69110,35030,34080
2022,395600,280470,115130,68260,35430,32830
2023,414350,299540,114810,69660,35640,34020
2024,427800,310870,116930,70100,36250,33850
