year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,66000,37580,28420,10590,6920,3670
2006,68780,38360,30420,10710,6990,3720
2007,65050,37070,27980,10850,7140,3710
2008,67720,38150,29570,11200,7360,3840
2009,74610,42920,31690,11590,7670,3920
2010,74010,42610,31400,11790,7910,3880
2011,76330,43890,32440,11980,8080,3900
2012,81240,46890,34350,12190,8210,3980
2013,82770,48660,34110,12650,8560,4090
2014,81220,46630,34590,12980,8840,4140
2015,80100,46610,33490,13340,9120,4220
2016,83510,51650,31860,13650,9330,4320
2017,95360,57140,38220,13590,9250,4340
2018,99550,60350,39200,13460,9070,4390
2019,104350,62320,42030,11650,8030,3620
2020,108420,65350,43070,11480,8030,3450
2021,115320,68120,47200,11540,7660,3880
2022,108480,62820,45660,11990,8060,3930
2023,104930,62810,42120,12470,8480,3990
2024,108270,64220,44050,13120,8700,4420
