year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,9420,5530,3890,3490,1910,1580
2006,9530,5720,3810,3500,1830,1670
2007,9220,5050,4170,3560,1840,1720
2008,10390,5720,4670,3680,1880,1800
2009,10660,5780,4880,3820,1960,1860
2010,10520,5680,4840,3920,2020,1900
2011,10980,6050,4930,3920,2060,1860
2012,11280,6110,5170,3900,2050,1850
2013,11410,6290,5120,4390,2500,1890
2014,12020,6550,5470,4740,2550,2190
2015,11930,6610,5320,4870,2600,2270
2016,12310,6980,5330,4990,2680,2310
2017,12390,6890,5500,4990,2670,2320
2018,13040,7370,5670,5150,2770,2380
2019,12750,7240,5510,5270,2840,2430
2020,13130,7470,5660,5350,2870,2480
2021,13460,7720,5740,5350,2840,2510
2022,13190,7590,5600,5130,2740,2390
2023,13400,7400,6000,5140,2720,2420
2024,13590,7700,5890,5200,2760,2440
