year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,101880,71090,30790,26590,17420,9170
2006,102740,70940,31800,26670,17530,9140
2007,120400,82960,37440,27340,18100,9240
2008,125490,85870,39620,27810,18430,9380
2009,131010,89640,41370,28100,18800,9300
2010,131260,89620,41640,28550,19110,9440
2011,132900,90750,42150,28970,19460,9510
2012,141140,97610,43530,29330,19670,9660
2013,140430,96800,43630,29790,20120,9670
2014,141610,97420,44190,30350,20610,9740
2015,138710,96580,42130,30970,21110,9860
2016,143190,100920,42270,31540,21600,9940
2017,146650,103480,43170,32190,22260,9930
2018,150350,107600,42750,33170,23110,10060
2019,158220,108450,49770,33420,23290,10130
2020,159120,110230,48890,33820,23540,10280
2021,164000,115750,48250,31940,21640,10300
2022,164190,114490,49700,31990,21680,10310
2023,168560,117590,50970,32590,22680,9910
2024,169360,118330,51030,32350,22360,9990
