type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
All sites,33337510,17018130,16319380,11756000,6178850,5577150
Oral cavity & pharynx,888340,630670,257670,182850,128410,54440
Digestive system,6022390,3341990,2680400,3032710,1736090,1296620
Respiratory system,4775340,2559160,2216180,3112920,1715880,1397040
Bones & joints,62570,35210,27360,31850,18030,13820
Soft tissue,234620,131450,103170,90360,48090,42270
Skin,1746020,1024150,721870,242820,163410,79410
Breast,4873690,46450,4827240,828760,9310,819450
Genital system,6594820,4645430,1949390,1234240,622400,611840
Urinary system,2831210,1966120,865090,607480,412520,194960
Eye & orbit,57060,30690,26370,6310,3210,3100
Brain & other nervous system,457280,255900,201380,307970,175550,132420
Endocrine system,1006090,267160,738930,56910,26700,30210
Lymphoma,1589710,869170,720540,415860,230810,185050
Myeloma,525260,291720,233540,233660,126190,107470
Leukemia,1042240,601230,441010,463890,267920,195970
