type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,30990,20180,10810,7430,5050,2380
Digestive system,263060,137630,125430,136180,75210,60970
Respiratory system,186370,101900,84470,167050,93820,73230
Bones & joints,2760,1500,1260,1260,730,530
Soft tissue,9530,5720,3810,3500,1830,1670
Skin,68780,38360,30420,10710,6990,3720
Breast,214640,1720,212920,41430,460,40970
Genital system,321490,244240,77250,56060,28000,28060
Urinary system,102740,70940,31800,26670,17530,9140
Eye & orbit,2360,1230,1130,230,110,120
Brain & other nervous system,18820,10730,8090,12820,7260,5560
Endocrine system,32260,8690,23570,2290,1020,1270
Lymphoma,66670,34870,31800,20330,10770,9560
Myeloma,16570,9250,7320,11310,5680,5630
Leukemia,35070,20000,15070,22280,12470,9810
