type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,35310,25310,10000,7590,5210,2380
Digestive system,271290,148560,122730,135130,74850,60280
Respiratory system,232270,127880,104390,166280,94210,72070
Bones & joints,2380,1270,1110,1470,820,650
Soft tissue,10390,5720,4670,3680,1880,1800
Skin,67720,38150,29570,11200,7360,3840
Breast,184450,1990,182460,40930,450,40480
Genital system,274150,195660,78490,57820,29330,28490
Urinary system,125490,85870,39620,27810,18430,9380
Eye & orbit,2390,1340,1050,240,130,110
Brain & other nervous system,21810,11780,10030,13070,7420,5650
Endocrine system,39510,10030,29480,2430,1110,1320
Lymphoma,74340,39850,34490,20510,10490,10020
Myeloma,19920,11190,8730,10690,5640,5050
Leukemia,44270,25180,19090,21710,12460,9250
