type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,35720,25240,10480,7600,5240,2360
Digestive system,275720,150020,125700,135830,76020,59810
Respiratory system,236990,129710,107280,163790,92240,71550
Bones & joints,2570,1430,1140,1470,800,670
Soft tissue,10660,5780,4880,3820,1960,1860
Skin,74610,42920,31690,11590,7670,3920
Breast,194280,1910,192370,40610,440,40170
Genital system,282690,201970,80720,56160,28040,28120
Urinary system,131010,89640,41370,28100,18800,9300
Eye & orbit,2350,1200,1150,230,120,110
Brain & other nervous system,22070,12010,10060,12920,7330,5590
Endocrine system,39330,11070,28260,2470,1100,1370
Lymphoma,74490,40630,33860,20790,10630,10160
Myeloma,20580,11680,8900,10580,5640,4940
Leukemia,44790,25630,19160,21870,12590,9280
