type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,39400,27710,11690,7900,5460,2440
Digestive system,277570,151540,126030,139250,79020,60230
Respiratory system,239320,128890,110430,161250,88890,72360
Bones & joints,2810,1620,1190,1490,850,640
Soft tissue,10980,6050,4930,3920,2060,1860
Skin,76330,43890,32440,11980,8080,3900
Breast,232620,2140,230480,39970,450,39520
Genital system,338620,250540,88080,63980,34390,29590
Urinary system,132900,90750,42150,28970,19460,9510
Eye & orbit,2570,1270,1300,240,130,110
Brain & other nervous system,22340,12260,10080,13110,7440,5670
Endocrine system,50400,12820,37580,2620,1160,1460
Lymphoma,75190,40880,34310,20620,10510,10110
Myeloma,20520,11400,9120,10610,5770,4840
Leukemia,44600,25320,19280,21780,12740,9040
