type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,41380,29620,11760,7890,5500,2390
Digestive system,290200,160750,129450,144570,82700,61870
Respiratory system,246210,131760,114450,163890,90600,73290
Bones & joints,3010,1680,1330,1440,810,630
Soft tissue,11410,6290,5120,4390,2500,1890
Skin,82770,48660,34110,12650,8560,4090
Breast,234580,2240,232340,40030,410,39620
Genital system,339810,248080,91730,58480,30400,28080
Urinary system,140430,96800,43630,29790,20120,9670
Eye & orbit,2800,1490,1310,320,120,200
Brain & other nervous system,23130,12770,10360,14080,7930,6150
Endocrine system,62710,16210,46500,2770,1270,1500
Lymphoma,79030,42670,36360,20200,11250,8950
Myeloma,22350,12440,9910,10710,6070,4640
Leukemia,48610,27880,20730,23720,13660,10060
