type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,48330,34780,13550,9570,6910,2660
Digestive system,304930,172530,132400,153030,88700,64330
Respiratory system,243820,132620,111200,162510,89320,73190
Bones & joints,3300,1850,1450,1490,860,630
Soft tissue,12310,6980,5330,4990,2680,2310
Skin,83510,51650,31860,13650,9330,4320
Breast,249260,2600,246660,40890,440,40450
Genital system,297530,191640,105890,57730,26840,30890
Urinary system,143190,100920,42270,31540,21600,9940
Eye & orbit,2810,1510,1300,280,150,130
Brain & other nervous system,23770,13350,10420,16050,9440,6610
Endocrine system,66730,16200,50530,2940,1400,1540
Lymphoma,81080,44960,36120,21270,12160,9110
Myeloma,30330,17900,12430,12650,6430,6220
Leukemia,60140,34090,26050,24400,14130,10270
