type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,49670,35720,13950,9700,7000,2700
Digestive system,310440,175650,134790,157700,92350,65350
Respiratory system,243170,133050,110120,160420,88100,72320
Bones & joints,3260,1820,1440,1550,890,660
Soft tissue,12390,6890,5500,4990,2670,2320
Skin,95360,57140,38220,13590,9250,4340
Breast,255180,2470,252710,41070,460,40610
Genital system,279800,172330,107470,59100,27500,31600
Urinary system,146650,103480,43170,32190,22260,9930
Eye & orbit,3130,1800,1330,330,180,150
Brain & other nervous system,23800,13450,10350,16700,9620,7080
Endocrine system,59250,15610,43640,3010,1440,1570
Lymphoma,80500,44730,35770,21210,12080,9130
Myeloma,30280,17490,12790,12590,6660,5930
Leukemia,62130,36290,25840,24500,14300,10200
