type,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
Oral cavity & pharynx,54010,38800,15210,10850,7620,3230
Digestive system,338090,191090,147000,169280,98140,71140
Respiratory system,254170,132910,121260,137040,73340,63700
Bones & joints,3610,2100,1510,2060,1190,870
Soft tissue,13460,7720,5740,5350,2840,2510
Skin,115320,68120,47200,11540,7660,3880
Breast,284200,2650,281550,44130,530,43600
Genital system,376970,260210,116760,69110,35030,34080
Urinary system,164000,115750,48250,31940,21640,10300
Eye & orbit,3320,1750,1570,400,220,180
Brain & other nervous system,24530,13840,10690,18600,10500,8100
Endocrine system,47200,13730,33470,3290,1620,1670
Lymphoma,90390,50460,39930,21680,12740,8940
Myeloma,34920,19320,15600,12410,6840,5570
Leukemia,61090,35530,25560,23660,13900,9760
